video,score
autumn.mp4,-0.00785
sushi.mp4,1.0
disco-ball.mp4,0.19968
dusk-city.mp4,0.47757
street-artist.mp4,0.01847
seal.mp4,0.0635
writing.mp4,0.39
eiffel-tower.mp4,0.22305
christmas.mp4,0.43247
dark-city.mp4,0.40672
yoga.mp4,-0.30101
airplane-window.mp4,0.31572
shuttle-landing.mp4,0.02497
moon.mp4,0.72931
swimming-pool.mp4,0.49576
ice-hockey.mp4,-0.2228
beach.mp4,-0.02748
flowing-river.mp4,-0.00667
flower.mp4,0.24578
ice_cream.mp4,0.72516
crops-field.mp4,-0.0012
jellyfish.mp4,0.22574
waves.mp4,-0.01587
cloudy-sky.mp4,-0.08326
traffic.mp4,0.4141
offroad-car.mp4,0.07701
police-car.mp4,0.45352
cooking.mp4,0.52862
coffee-machine.mp4,0.04863
dunes.mp4,-0.24633
surfer.mp4,-0.12519
photographer.mp4,0.43539
people-dancing.mp4,0.84669
bird-walking.mp4,0.03828
earth.mp4,0.72415
timelapse-night.mp4,0.4353
butterfly.mp4,0.07642
winter.mp4,-0.04267
playing-basketball.mp4,0.07179
workers.mp4,0.36756
wind-turbine.mp4,0.10528
swing.mp4,0.02803
spaghetti.mp4,-0.00907
gym-workout.mp4,0.2095
sketching.mp4,-0.22132
strawberry-slicing.mp4,0.1629
work.mp4,0.36977
candles.mp4,0.21022
clown-fish.mp4,0.50986
food-market.mp4,0.8228
