video,score
autumn.mp4,0.52615
sushi.mp4,0.0
disco-ball.mp4,0.56612
dusk-city.mp4,0.23657
street-artist.mp4,0.332
seal.mp4,0.37456
writing.mp4,0.221
eiffel-tower.mp4,0.37075
christmas.mp4,0.32047
dark-city.mp4,0.40639
yoga.mp4,0.62218
airplane-window.mp4,0.30768
shuttle-landing.mp4,0.57718
moon.mp4,0.83932
swimming-pool.mp4,0.31033
ice-hockey.mp4,0.70895
beach.mp4,0.45044
flowing-river.mp4,0.28477
flower.mp4,0.24319
ice_cream.mp4,0.26873
crops-field.mp4,0.59809
jellyfish.mp4,0.50109
waves.mp4,0.41842
cloudy-sky.mp4,0.54815
traffic.mp4,0.41806
offroad-car.mp4,0.35219
police-car.mp4,0.2992
cooking.mp4,0.27396
coffee-machine.mp4,0.47839
dunes.mp4,0.43751
surfer.mp4,0.51803
photographer.mp4,0.27981
people-dancing.mp4,0.19918
bird-walking.mp4,0.48585
earth.mp4,0.34187
timelapse-night.mp4,0.52074
butterfly.mp4,0.4456
winter.mp4,0.33828
playing-basketball.mp4,0.47634
workers.mp4,0.31224
wind-turbine.mp4,0.51138
swing.mp4,0.31261
spaghetti.mp4,0.58018
gym-workout.mp4,0.41371
sketching.mp4,0.49392
strawberry-slicing.mp4,0.32622
work.mp4,0.36721
candles.mp4,0.43782
clown-fish.mp4,0.18179
food-market.mp4,0.19374
