video,score
autumn.mp4,5.70875
sushi.mp4,12.12565
disco-ball.mp4,1.91844
dusk-city.mp4,9.41963
street-artist.mp4,8.86643
seal.mp4,6.49917
writing.mp4,9.37169
eiffel-tower.mp4,6.29648
christmas.mp4,7.82902
dark-city.mp4,6.47779
yoga.mp4,2.68011
airplane-window.mp4,6.80077
shuttle-landing.mp4,4.03725
moon.mp4,0.57974
swimming-pool.mp4,7.78078
ice-hockey.mp4,1.27858
beach.mp4,6.17067
flowing-river.mp4,9.86222
flower.mp4,9.9522
ice_cream.mp4,5.26304
crops-field.mp4,3.7208
jellyfish.mp4,4.2943
waves.mp4,4.66603
cloudy-sky.mp4,5.91281
traffic.mp4,5.80281
offroad-car.mp4,7.79543
police-car.mp4,8.7732
cooking.mp4,8.93443
coffee-machine.mp4,4.7966
dunes.mp4,7.42736
surfer.mp4,2.96195
photographer.mp4,7.52228
people-dancing.mp4,7.86634
bird-walking.mp4,4.69119
earth.mp4,3.94134
timelapse-night.mp4,5.4575
butterfly.mp4,5.72363
winter.mp4,8.85835
playing-basketball.mp4,6.37701
workers.mp4,7.78767
wind-turbine.mp4,5.26698
swing.mp4,8.37955
spaghetti.mp4,3.74065
gym-workout.mp4,6.71359
sketching.mp4,5.15325
strawberry-slicing.mp4,9.18163
work.mp4,7.06662
candles.mp4,3.01844
clown-fish.mp4,10.60392
food-market.mp4,5.48056
