video,score
autumn.mp4,2.43346
sushi.mp4,0.0
disco-ball.mp4,2.22718
dusk-city.mp4,2.52089
street-artist.mp4,2.6884
seal.mp4,1.94422
writing.mp4,1.94659
eiffel-tower.mp4,2.44101
christmas.mp4,2.51129
dark-city.mp4,3.22866
yoga.mp4,2.23287
airplane-window.mp4,2.65405
shuttle-landing.mp4,2.32811
moon.mp4,2.20776
swimming-pool.mp4,2.90398
ice-hockey.mp4,2.36634
beach.mp4,2.70275
flowing-river.mp4,2.71772
flower.mp4,3.32615
ice_cream.mp4,2.33195
crops-field.mp4,2.46204
jellyfish.mp4,2.70386
waves.mp4,1.60758
cloudy-sky.mp4,2.92775
traffic.mp4,2.77603
offroad-car.mp4,2.65938
police-car.mp4,2.0638
cooking.mp4,1.74793
coffee-machine.mp4,1.90264
dunes.mp4,1.81308
surfer.mp4,1.80042
photographer.mp4,1.73813
people-dancing.mp4,1.47321
bird-walking.mp4,2.04814
earth.mp4,2.59336
timelapse-night.mp4,3.42269
butterfly.mp4,3.07259
winter.mp4,3.15445
playing-basketball.mp4,2.50123
workers.mp4,2.09132
wind-turbine.mp4,1.66185
swing.mp4,2.41391
spaghetti.mp4,2.33953
gym-workout.mp4,2.23548
sketching.mp4,2.07763
strawberry-slicing.mp4,2.8998
work.mp4,1.59099
candles.mp4,2.57497
clown-fish.mp4,2.87945
food-market.mp4,2.02458
