video,score
autumn.mp4,-0.03937
sushi.mp4,1.0
disco-ball.mp4,0.47335
dusk-city.mp4,0.2809
street-artist.mp4,-0.12074
seal.mp4,-0.08024
writing.mp4,0.48657
eiffel-tower.mp4,0.2454
christmas.mp4,0.43397
dark-city.mp4,0.52433
yoga.mp4,-0.26122
airplane-window.mp4,0.20345
shuttle-landing.mp4,-0.13027
moon.mp4,0.82578
swimming-pool.mp4,0.65914
ice-hockey.mp4,-0.15143
beach.mp4,-0.01659
flowing-river.mp4,-0.13073
flower.mp4,0.5605
ice_cream.mp4,0.7924
crops-field.mp4,-0.11148
jellyfish.mp4,0.21632
waves.mp4,-0.03591
cloudy-sky.mp4,-0.32122
traffic.mp4,0.36497
offroad-car.mp4,-0.05993
police-car.mp4,0.31691
cooking.mp4,0.4792
coffee-machine.mp4,0.06843
dunes.mp4,-0.28734
surfer.mp4,-0.08541
photographer.mp4,0.41192
people-dancing.mp4,0.87302
bird-walking.mp4,-0.04491
earth.mp4,0.78627
timelapse-night.mp4,0.43742
butterfly.mp4,0.00493
winter.mp4,-0.23698
playing-basketball.mp4,-0.12342
workers.mp4,0.20884
wind-turbine.mp4,0.00783
swing.mp4,-0.05603
spaghetti.mp4,0.03675
gym-workout.mp4,0.12496
sketching.mp4,-0.31664
strawberry-slicing.mp4,-0.1451
work.mp4,0.36398
candles.mp4,0.39802
clown-fish.mp4,0.38642
food-market.mp4,0.87739
