video,score
autumn.mp4,0.47991
sushi.mp4,0.0
disco-ball.mp4,0.53341
dusk-city.mp4,0.27272
street-artist.mp4,0.35222
seal.mp4,0.387
writing.mp4,0.24604
eiffel-tower.mp4,0.35735
christmas.mp4,0.31668
dark-city.mp4,0.3846
yoga.mp4,0.62295
airplane-window.mp4,0.35264
shuttle-landing.mp4,0.58573
moon.mp4,0.82614
swimming-pool.mp4,0.30336
ice-hockey.mp4,0.6806
beach.mp4,0.52691
flowing-river.mp4,0.29423
flower.mp4,0.24634
ice_cream.mp4,0.29866
crops-field.mp4,0.55783
jellyfish.mp4,0.53884
waves.mp4,0.42267
cloudy-sky.mp4,0.61941
traffic.mp4,0.39003
offroad-car.mp4,0.37628
police-car.mp4,0.30369
cooking.mp4,0.28981
coffee-machine.mp4,0.4312
dunes.mp4,0.41826
surfer.mp4,0.51787
photographer.mp4,0.27361
people-dancing.mp4,0.20824
bird-walking.mp4,0.4817
earth.mp4,0.35465
timelapse-night.mp4,0.46505
butterfly.mp4,0.4232
winter.mp4,0.37456
playing-basketball.mp4,0.51154
workers.mp4,0.33619
wind-turbine.mp4,0.53732
swing.mp4,0.36281
spaghetti.mp4,0.53323
gym-workout.mp4,0.4232
sketching.mp4,0.48021
strawberry-slicing.mp4,0.35889
work.mp4,0.37051
candles.mp4,0.47267
clown-fish.mp4,0.2335
food-market.mp4,0.18719
