video,score
autumn.mp4,5.6219
sushi.mp4,11.61493
disco-ball.mp4,2.13036
dusk-city.mp4,8.71745
street-artist.mp4,8.12034
seal.mp4,6.25309
writing.mp4,8.57276
eiffel-tower.mp4,6.62587
christmas.mp4,7.49749
dark-city.mp4,6.8063
yoga.mp4,2.74486
airplane-window.mp4,6.22841
shuttle-landing.mp4,4.00929
moon.mp4,0.65346
swimming-pool.mp4,7.18636
ice-hockey.mp4,1.54531
beach.mp4,4.02124
flowing-river.mp4,9.50654
flower.mp4,7.69891
ice_cream.mp4,4.71485
crops-field.mp4,4.4798
jellyfish.mp4,3.99822
waves.mp4,5.28265
cloudy-sky.mp4,4.54626
traffic.mp4,5.86335
offroad-car.mp4,7.51098
police-car.mp4,8.42452
cooking.mp4,8.26661
coffee-machine.mp4,5.36367
dunes.mp4,7.18471
surfer.mp4,2.70662
photographer.mp4,7.38536
people-dancing.mp4,6.21372
bird-walking.mp4,4.73713
earth.mp4,3.83759
timelapse-night.mp4,5.85659
butterfly.mp4,6.0877
winter.mp4,8.08213
playing-basketball.mp4,5.59779
workers.mp4,7.4858
wind-turbine.mp4,4.80755
swing.mp4,7.97549
spaghetti.mp4,4.16788
gym-workout.mp4,6.68345
sketching.mp4,5.47837
strawberry-slicing.mp4,8.38971
work.mp4,6.75319
candles.mp4,3.10811
clown-fish.mp4,9.18909
food-market.mp4,4.7823
