video,score
autumn.mp4,0.58727
sushi.mp4,0.50308
disco-ball.mp4,0.67103
dusk-city.mp4,0.46408
street-artist.mp4,0.53128
seal.mp4,0.57215
writing.mp4,0.53345
eiffel-tower.mp4,0.63776
christmas.mp4,0.64235
dark-city.mp4,0.76344
yoga.mp4,0.69312
airplane-window.mp4,0.36817
shuttle-landing.mp4,0.75516
moon.mp4,0.96806
swimming-pool.mp4,0.6033
ice-hockey.mp4,0.78971
beach.mp4,0.67985
flowing-river.mp4,0.55427
flower.mp4,0.50124
ice_cream.mp4,0.55936
crops-field.mp4,0.81529
jellyfish.mp4,0.75976
waves.mp4,0.66053
cloudy-sky.mp4,0.60595
traffic.mp4,0.657
offroad-car.mp4,0.60784
police-car.mp4,0.59802
cooking.mp4,0.62165
coffee-machine.mp4,0.74716
dunes.mp4,0.58599
surfer.mp4,0.59117
photographer.mp4,0.53617
people-dancing.mp4,0.62606
bird-walking.mp4,0.74602
earth.mp4,0.66529
timelapse-night.mp4,0.73919
butterfly.mp4,0.73568
winter.mp4,0.55155
playing-basketball.mp4,0.63502
workers.mp4,0.53526
wind-turbine.mp4,0.73397
swing.mp4,0.58289
spaghetti.mp4,0.53152
gym-workout.mp4,0.7272
sketching.mp4,0.56558
strawberry-slicing.mp4,0.50254
work.mp4,0.68483
candles.mp4,0.73212
clown-fish.mp4,0.52878
food-market.mp4,0.59057
