video,score
autumn.mp4,0.02911
sushi.mp4,0.1429
disco-ball.mp4,0.17262
dusk-city.mp4,0.39472
street-artist.mp4,0.02589
seal.mp4,0.03998
writing.mp4,0.12768
eiffel-tower.mp4,-0.04239
christmas.mp4,0.01017
dark-city.mp4,-0.09888
yoga.mp4,-0.07546
airplane-window.mp4,0.70478
shuttle-landing.mp4,-0.15389
moon.mp4,-0.02857
swimming-pool.mp4,0.13359
ice-hockey.mp4,-0.11206
beach.mp4,-0.02966
flowing-river.mp4,-0.1002
flower.mp4,-0.1361
ice_cream.mp4,-0.03774
crops-field.mp4,-0.17313
jellyfish.mp4,0.04555
waves.mp4,-0.13636
cloudy-sky.mp4,-0.09408
traffic.mp4,0.29761
offroad-car.mp4,-0.32427
police-car.mp4,0.04128
cooking.mp4,0.17112
coffee-machine.mp4,-0.21283
dunes.mp4,-0.01916
surfer.mp4,-0.01525
photographer.mp4,0.41462
people-dancing.mp4,-0.06616
bird-walking.mp4,-0.2865
earth.mp4,0.02573
timelapse-night.mp4,0.1182
butterfly.mp4,-0.35728
winter.mp4,-0.05568
playing-basketball.mp4,-0.09616
workers.mp4,0.19114
wind-turbine.mp4,-0.22472
swing.mp4,-0.07847
spaghetti.mp4,0.06128
gym-workout.mp4,-0.32612
sketching.mp4,0.1097
strawberry-slicing.mp4,0.13657
work.mp4,-0.17002
candles.mp4,0.06097
clown-fish.mp4,0.22905
food-market.mp4,0.00141
