video,score
autumn.mp4,-0.00123
sushi.mp4,0.03693
disco-ball.mp4,0.08875
dusk-city.mp4,0.14403
street-artist.mp4,0.02502
seal.mp4,-0.14334
writing.mp4,-0.08706
eiffel-tower.mp4,-0.21498
christmas.mp4,-0.04444
dark-city.mp4,-0.33694
yoga.mp4,0.16549
airplane-window.mp4,0.54036
shuttle-landing.mp4,-0.20082
moon.mp4,-0.03637
swimming-pool.mp4,-0.04643
ice-hockey.mp4,-0.10595
beach.mp4,-0.22899
flowing-river.mp4,0.14836
flower.mp4,0.09923
ice_cream.mp4,0.00434
crops-field.mp4,-0.31846
jellyfish.mp4,-0.17499
waves.mp4,-0.08791
cloudy-sky.mp4,0.00828
traffic.mp4,0.16305
offroad-car.mp4,-0.18158
police-car.mp4,-0.0763
cooking.mp4,-0.10979
coffee-machine.mp4,-0.30684
dunes.mp4,0.18662
surfer.mp4,0.02603
photographer.mp4,0.26628
people-dancing.mp4,-0.1385
bird-walking.mp4,-0.32368
earth.mp4,-0.07019
timelapse-night.mp4,0.07285
butterfly.mp4,-0.37908
winter.mp4,-0.05337
playing-basketball.mp4,-0.18585
workers.mp4,-0.00096
wind-turbine.mp4,-0.20694
swing.mp4,0.04296
spaghetti.mp4,0.19093
gym-workout.mp4,-0.1773
sketching.mp4,0.17798
strawberry-slicing.mp4,0.25136
work.mp4,-0.31026
candles.mp4,-0.07383
clown-fish.mp4,0.04856
food-market.mp4,-0.03498
