video,score
autumn.mp4,3.09316
sushi.mp4,3.80425
disco-ball.mp4,1.52587
dusk-city.mp4,4.13704
street-artist.mp4,3.90705
seal.mp4,2.77657
writing.mp4,3.61081
eiffel-tower.mp4,2.03703
christmas.mp4,2.22881
dark-city.mp4,1.05738
yoga.mp4,2.58169
airplane-window.mp4,4.23873
shuttle-landing.mp4,0.71958
moon.mp4,0.01126
swimming-pool.mp4,2.28843
ice-hockey.mp4,0.83287
beach.mp4,2.12589
flowing-river.mp4,4.28394
flower.mp4,4.27721
ice_cream.mp4,2.49103
crops-field.mp4,0.40369
jellyfish.mp4,0.99889
waves.mp4,1.60088
cloudy-sky.mp4,3.41137
traffic.mp4,2.19075
offroad-car.mp4,2.90204
police-car.mp4,2.5227
cooking.mp4,2.23011
coffee-machine.mp4,0.84092
dunes.mp4,4.23123
surfer.mp4,2.02863
photographer.mp4,3.24254
people-dancing.mp4,2.0877
bird-walking.mp4,0.91656
earth.mp4,1.2766
timelapse-night.mp4,1.85166
butterfly.mp4,1.033
winter.mp4,4.09415
playing-basketball.mp4,2.02017
workers.mp4,3.17564
wind-turbine.mp4,1.13941
swing.mp4,3.63332
spaghetti.mp4,2.50301
gym-workout.mp4,1.5464
sketching.mp4,3.94119
strawberry-slicing.mp4,4.66726
work.mp4,1.93294
candles.mp4,0.99446
clown-fish.mp4,3.70085
food-market.mp4,2.05466
