video,score
autumn.mp4,0.61772
sushi.mp4,0.55995
disco-ball.mp4,0.64029
dusk-city.mp4,0.55114
street-artist.mp4,0.5988
seal.mp4,0.63701
writing.mp4,0.57668
eiffel-tower.mp4,0.70958
christmas.mp4,0.69013
dark-city.mp4,0.65104
yoga.mp4,0.52144
airplane-window.mp4,0.49913
shuttle-landing.mp4,0.76161
moon.mp4,0.94059
swimming-pool.mp4,0.63517
ice-hockey.mp4,0.74019
beach.mp4,0.56889
flowing-river.mp4,0.51445
flower.mp4,0.50944
ice_cream.mp4,0.54938
crops-field.mp4,0.84965
jellyfish.mp4,0.61626
waves.mp4,0.61189
cloudy-sky.mp4,0.61429
traffic.mp4,0.66221
offroad-car.mp4,0.62829
police-car.mp4,0.6466
cooking.mp4,0.64829
coffee-machine.mp4,0.78369
dunes.mp4,0.57953
surfer.mp4,0.57649
photographer.mp4,0.60915
people-dancing.mp4,0.64106
bird-walking.mp4,0.79058
earth.mp4,0.63302
timelapse-night.mp4,0.72822
butterfly.mp4,0.75357
winter.mp4,0.53132
playing-basketball.mp4,0.70352
workers.mp4,0.58914
wind-turbine.mp4,0.76586
swing.mp4,0.56637
spaghetti.mp4,0.70433
gym-workout.mp4,0.72197
sketching.mp4,0.49192
strawberry-slicing.mp4,0.4706
work.mp4,0.74982
candles.mp4,0.69465
clown-fish.mp4,0.55069
food-market.mp4,0.59055
