video,score
autumn.mp4,3.39486
sushi.mp4,3.74354
disco-ball.mp4,1.48948
dusk-city.mp4,4.57223
street-artist.mp4,3.86671
seal.mp4,3.12128
writing.mp4,3.8955
eiffel-tower.mp4,2.36061
christmas.mp4,2.28697
dark-city.mp4,2.98148
yoga.mp4,3.96726
airplane-window.mp4,3.86378
shuttle-landing.mp4,1.6612
moon.mp4,0.03564
swimming-pool.mp4,2.95879
ice-hockey.mp4,1.19381
beach.mp4,3.52634
flowing-river.mp4,4.71139
flower.mp4,4.21992
ice_cream.mp4,2.51096
crops-field.mp4,0.82971
jellyfish.mp4,3.1734
waves.mp4,2.30843
cloudy-sky.mp4,3.97527
traffic.mp4,2.33381
offroad-car.mp4,3.43167
police-car.mp4,2.97042
cooking.mp4,2.82767
coffee-machine.mp4,1.62529
dunes.mp4,4.35745
surfer.mp4,2.21397
photographer.mp4,2.79887
people-dancing.mp4,2.0765
bird-walking.mp4,1.38353
earth.mp4,1.85613
timelapse-night.mp4,2.13856
butterfly.mp4,1.76123
winter.mp4,4.8753
playing-basketball.mp4,2.58102
workers.mp4,3.71748
wind-turbine.mp4,1.30324
swing.mp4,4.07002
spaghetti.mp4,2.09552
gym-workout.mp4,1.82672
sketching.mp4,5.15446
strawberry-slicing.mp4,5.79424
work.mp4,2.20563
candles.mp4,1.56173
clown-fish.mp4,4.02574
food-market.mp4,2.10715
