video,score
autumn.mp4,0.58127
sushi.mp4,-0.05743
disco-ball.mp4,-0.14015
dusk-city.mp4,0.27332
street-artist.mp4,0.61844
seal.mp4,0.58478
writing.mp4,0.25498
eiffel-tower.mp4,0.00828
christmas.mp4,-0.42727
dark-city.mp4,-0.43013
yoga.mp4,-0.12913
airplane-window.mp4,0.01003
shuttle-landing.mp4,0.39708
moon.mp4,-0.05731
swimming-pool.mp4,-0.10127
ice-hockey.mp4,-0.16381
beach.mp4,0.03094
flowing-river.mp4,-0.17889
flower.mp4,-0.13484
ice_cream.mp4,-0.05948
crops-field.mp4,-0.09883
jellyfish.mp4,-0.25172
waves.mp4,-0.09831
cloudy-sky.mp4,0.35355
traffic.mp4,-0.33035
offroad-car.mp4,-0.1177
police-car.mp4,-0.0927
cooking.mp4,-0.26756
coffee-machine.mp4,-0.15632
dunes.mp4,0.12051
surfer.mp4,-0.02593
photographer.mp4,-0.24236
people-dancing.mp4,-0.23452
bird-walking.mp4,-0.11337
earth.mp4,-0.11827
timelapse-night.mp4,-0.3732
butterfly.mp4,-0.14611
winter.mp4,0.11095
playing-basketball.mp4,0.38692
workers.mp4,0.11961
wind-turbine.mp4,-0.08512
swing.mp4,-0.15883
spaghetti.mp4,0.70554
gym-workout.mp4,-0.28369
sketching.mp4,0.25877
strawberry-slicing.mp4,0.51559
work.mp4,0.2023
candles.mp4,-0.13295
clown-fish.mp4,-0.23379
food-market.mp4,-0.12373
