video,score
autumn.mp4,6.60425
sushi.mp4,5.88335
disco-ball.mp4,0.95695
dusk-city.mp4,6.87979
street-artist.mp4,8.32473
seal.mp4,7.20372
writing.mp4,6.85629
eiffel-tower.mp4,4.41373
christmas.mp4,2.97128
dark-city.mp4,2.58111
yoga.mp4,2.67446
airplane-window.mp4,4.55577
shuttle-landing.mp4,4.31782
moon.mp4,0.02581
swimming-pool.mp4,4.2778
ice-hockey.mp4,1.34783
beach.mp4,4.61386
flowing-river.mp4,6.03277
flower.mp4,5.79566
ice_cream.mp4,4.11996
crops-field.mp4,2.79789
jellyfish.mp4,1.84909
waves.mp4,3.06895
cloudy-sky.mp4,6.19156
traffic.mp4,2.08842
offroad-car.mp4,4.84425
police-car.mp4,4.51612
cooking.mp4,3.76818
coffee-machine.mp4,3.4444
dunes.mp4,6.13694
surfer.mp4,2.93494
photographer.mp4,3.50954
people-dancing.mp4,3.58989
bird-walking.mp4,3.34296
earth.mp4,2.65678
timelapse-night.mp4,1.32384
butterfly.mp4,3.5759
winter.mp4,6.60164
playing-basketball.mp4,5.72292
workers.mp4,5.32195
wind-turbine.mp4,3.36989
swing.mp4,5.26838
spaghetti.mp4,5.8683
gym-workout.mp4,3.28779
sketching.mp4,6.11619
strawberry-slicing.mp4,7.55459
work.mp4,5.04624
candles.mp4,2.2036
clown-fish.mp4,5.52417
food-market.mp4,3.437
