video,score
autumn.mp4,6.63302
sushi.mp4,8.89814
disco-ball.mp4,7.30527
dusk-city.mp4,9.47787
street-artist.mp4,8.7816
seal.mp4,3.31005
writing.mp4,6.07732
eiffel-tower.mp4,7.20333
christmas.mp4,7.16846
dark-city.mp4,7.06134
yoga.mp4,4.90027
airplane-window.mp4,6.80743
shuttle-landing.mp4,5.38124
moon.mp4,4.24399
swimming-pool.mp4,8.6417
ice-hockey.mp4,4.67433
beach.mp4,5.61771
flowing-river.mp4,8.68715
flower.mp4,9.98457
ice_cream.mp4,6.39795
crops-field.mp4,6.173
jellyfish.mp4,5.20821
waves.mp4,5.43665
cloudy-sky.mp4,5.84642
traffic.mp4,6.99658
offroad-car.mp4,8.37047
police-car.mp4,8.1893
cooking.mp4,9.48402
coffee-machine.mp4,5.49123
dunes.mp4,4.63372
surfer.mp4,5.83904
photographer.mp4,9.5453
people-dancing.mp4,10.49989
bird-walking.mp4,5.6203
earth.mp4,6.55676
timelapse-night.mp4,9.35271
butterfly.mp4,8.51338
winter.mp4,7.57166
playing-basketball.mp4,6.05902
workers.mp4,6.82508
wind-turbine.mp4,5.61032
swing.mp4,6.086
spaghetti.mp4,5.90194
gym-workout.mp4,5.24423
sketching.mp4,4.64847
strawberry-slicing.mp4,9.30851
work.mp4,4.76614
candles.mp4,5.83057
clown-fish.mp4,11.97149
food-market.mp4,10.06659
