video,score
autumn.mp4,0.39535
sushi.mp4,0.42175
disco-ball.mp4,0.73083
dusk-city.mp4,0.38909
street-artist.mp4,0.27507
seal.mp4,0.25006
writing.mp4,0.35781
eiffel-tower.mp4,0.43051
christmas.mp4,0.60979
dark-city.mp4,0.54194
yoga.mp4,0.57813
airplane-window.mp4,0.45504
shuttle-landing.mp4,0.52213
moon.mp4,0.95053
swimming-pool.mp4,0.49257
ice-hockey.mp4,0.67663
beach.mp4,0.52011
flowing-river.mp4,0.37926
flower.mp4,0.43493
ice_cream.mp4,0.4441
crops-field.mp4,0.52898
jellyfish.mp4,0.6283
waves.mp4,0.51396
cloudy-sky.mp4,0.4807
traffic.mp4,0.66853
offroad-car.mp4,0.45034
police-car.mp4,0.48803
cooking.mp4,0.56744
coffee-machine.mp4,0.55305
dunes.mp4,0.34851
surfer.mp4,0.48663
photographer.mp4,0.57302
people-dancing.mp4,0.52862
bird-walking.mp4,0.55886
earth.mp4,0.55091
timelapse-night.mp4,0.75854
butterfly.mp4,0.52054
winter.mp4,0.33782
playing-basketball.mp4,0.40965
workers.mp4,0.48616
wind-turbine.mp4,0.55818
swing.mp4,0.39748
spaghetti.mp4,0.4703
gym-workout.mp4,0.56578
sketching.mp4,0.31223
strawberry-slicing.mp4,0.32683
work.mp4,0.43907
candles.mp4,0.68098
clown-fish.mp4,0.4842
food-market.mp4,0.5015
