video,score
autumn.mp4,0.72078
sushi.mp4,-0.05429
disco-ball.mp4,-0.24946
dusk-city.mp4,0.25224
street-artist.mp4,0.55986
seal.mp4,0.66784
writing.mp4,0.34407
eiffel-tower.mp4,0.40509
christmas.mp4,-0.32301
dark-city.mp4,-0.2521
yoga.mp4,-0.36877
airplane-window.mp4,-0.09067
shuttle-landing.mp4,0.4428
moon.mp4,-0.08361
swimming-pool.mp4,0.01946
ice-hockey.mp4,-0.2566
beach.mp4,0.11283
flowing-river.mp4,-0.21212
flower.mp4,-0.1939
ice_cream.mp4,-0.09054
crops-field.mp4,0.36741
jellyfish.mp4,-0.29469
waves.mp4,-0.12864
cloudy-sky.mp4,0.64284
traffic.mp4,-0.41304
offroad-car.mp4,0.10363
police-car.mp4,-0.12945
cooking.mp4,-0.25373
coffee-machine.mp4,0.24139
dunes.mp4,0.11031
surfer.mp4,-0.08126
photographer.mp4,-0.3491
people-dancing.mp4,-0.19592
bird-walking.mp4,0.36094
earth.mp4,-0.14376
timelapse-night.mp4,-0.4423
butterfly.mp4,0.34618
winter.mp4,0.41387
playing-basketball.mp4,0.57557
workers.mp4,0.06682
wind-turbine.mp4,0.1168
swing.mp4,-0.09893
spaghetti.mp4,0.63812
gym-workout.mp4,-0.19042
sketching.mp4,0.058
strawberry-slicing.mp4,0.56807
work.mp4,0.49954
candles.mp4,-0.15941
clown-fish.mp4,-0.24893
food-market.mp4,-0.15858
