video,score
autumn.mp4,0.32689
sushi.mp4,0.4
disco-ball.mp4,0.7766
dusk-city.mp4,0.36396
street-artist.mp4,0.28572
seal.mp4,0.30988
writing.mp4,0.35513
eiffel-tower.mp4,0.39687
christmas.mp4,0.54038
dark-city.mp4,0.58092
yoga.mp4,0.65612
airplane-window.mp4,0.46381
shuttle-landing.mp4,0.45016
moon.mp4,0.97424
swimming-pool.mp4,0.49383
ice-hockey.mp4,0.73269
beach.mp4,0.4081
flowing-river.mp4,0.39929
flower.mp4,0.43092
ice_cream.mp4,0.46021
crops-field.mp4,0.48604
jellyfish.mp4,0.62531
waves.mp4,0.4964
cloudy-sky.mp4,0.3657
traffic.mp4,0.66504
offroad-car.mp4,0.35181
police-car.mp4,0.46305
cooking.mp4,0.50697
coffee-machine.mp4,0.4683
dunes.mp4,0.38682
surfer.mp4,0.53829
photographer.mp4,0.55848
people-dancing.mp4,0.49413
bird-walking.mp4,0.42069
earth.mp4,0.56761
timelapse-night.mp4,0.7779
butterfly.mp4,0.40924
winter.mp4,0.28451
playing-basketball.mp4,0.31515
workers.mp4,0.437
wind-turbine.mp4,0.46179
swing.mp4,0.41026
spaghetti.mp4,0.36506
gym-workout.mp4,0.49231
sketching.mp4,0.46264
strawberry-slicing.mp4,0.25661
work.mp4,0.35327
candles.mp4,0.63803
clown-fish.mp4,0.43294
food-market.mp4,0.51768
