video,score
autumn.mp4,2.45068
sushi.mp4,3.07716
disco-ball.mp4,2.45197
dusk-city.mp4,3.33297
street-artist.mp4,3.11123
seal.mp4,2.30657
writing.mp4,2.66812
eiffel-tower.mp4,2.36774
christmas.mp4,2.56176
dark-city.mp4,2.72606
yoga.mp4,2.21756
airplane-window.mp4,2.4088
shuttle-landing.mp4,2.03369
moon.mp4,1.97241
swimming-pool.mp4,2.21167
ice-hockey.mp4,2.15545
beach.mp4,2.38056
flowing-river.mp4,1.99776
flower.mp4,2.37971
ice_cream.mp4,2.54424
crops-field.mp4,2.43829
jellyfish.mp4,2.17212
waves.mp4,2.5364
cloudy-sky.mp4,2.43176
traffic.mp4,2.4133
offroad-car.mp4,2.56061
police-car.mp4,3.15585
cooking.mp4,2.93373
coffee-machine.mp4,2.56131
dunes.mp4,2.19214
surfer.mp4,2.20791
photographer.mp4,2.95432
people-dancing.mp4,3.05438
bird-walking.mp4,2.01218
earth.mp4,2.36755
timelapse-night.mp4,3.61005
butterfly.mp4,0.9926
winter.mp4,2.8486
playing-basketball.mp4,2.42905
workers.mp4,2.78311
wind-turbine.mp4,2.44538
swing.mp4,1.92694
spaghetti.mp4,2.25985
gym-workout.mp4,2.57263
sketching.mp4,2.31766
strawberry-slicing.mp4,3.03081
work.mp4,2.57169
candles.mp4,2.47673
clown-fish.mp4,2.24101
food-market.mp4,3.16848
