video,score
autumn.mp4,6.2963
sushi.mp4,6.90173
disco-ball.mp4,0.86525
dusk-city.mp4,8.47017
street-artist.mp4,8.97534
seal.mp4,7.90996
writing.mp4,8.61154
eiffel-tower.mp4,7.03756
christmas.mp4,5.44404
dark-city.mp4,5.86039
yoga.mp4,2.599
airplane-window.mp4,4.88719
shuttle-landing.mp4,6.24816
moon.mp4,0.01711
swimming-pool.mp4,5.35287
ice-hockey.mp4,1.28851
beach.mp4,4.4525
flowing-river.mp4,8.44858
flower.mp4,6.70083
ice_cream.mp4,3.62532
crops-field.mp4,6.75539
jellyfish.mp4,3.17996
waves.mp4,4.10118
cloudy-sky.mp4,7.19214
traffic.mp4,3.35972
offroad-car.mp4,8.0337
police-car.mp4,6.51947
cooking.mp4,5.00294
coffee-machine.mp4,6.71719
dunes.mp4,9.18756
surfer.mp4,2.53599
photographer.mp4,4.29961
people-dancing.mp4,4.38708
bird-walking.mp4,6.62421
earth.mp4,2.60431
timelapse-night.mp4,3.08221
butterfly.mp4,7.76437
winter.mp4,8.80776
playing-basketball.mp4,7.50777
workers.mp4,6.10174
wind-turbine.mp4,5.0539
swing.mp4,8.12733
spaghetti.mp4,4.24515
gym-workout.mp4,5.78221
sketching.mp4,6.71992
strawberry-slicing.mp4,9.50439
work.mp4,8.13416
candles.mp4,1.63618
clown-fish.mp4,6.77314
food-market.mp4,3.27835
