video,score
autumn.mp4,4.97636
sushi.mp4,5.4825
disco-ball.mp4,0.7156
dusk-city.mp4,5.45672
street-artist.mp4,6.98589
seal.mp4,4.82712
writing.mp4,5.3903
eiffel-tower.mp4,4.0254
christmas.mp4,4.67319
dark-city.mp4,4.34082
yoga.mp4,2.9506
airplane-window.mp4,3.34494
shuttle-landing.mp4,3.37008
moon.mp4,0.02915
swimming-pool.mp4,3.10803
ice-hockey.mp4,1.14372
beach.mp4,5.43985
flowing-river.mp4,7.13134
flower.mp4,6.11771
ice_cream.mp4,3.65501
crops-field.mp4,4.04896
jellyfish.mp4,1.76368
waves.mp4,2.83246
cloudy-sky.mp4,6.12283
traffic.mp4,1.99183
offroad-car.mp4,6.14098
police-car.mp4,3.57976
cooking.mp4,4.14717
coffee-machine.mp4,4.7759
dunes.mp4,7.1052
surfer.mp4,2.60493
photographer.mp4,3.14032
people-dancing.mp4,4.55989
bird-walking.mp4,4.52979
earth.mp4,2.3638
timelapse-night.mp4,1.40317
butterfly.mp4,5.08055
winter.mp4,8.2578
playing-basketball.mp4,4.19971
workers.mp4,4.35374
wind-turbine.mp4,3.3158
swing.mp4,6.45753
spaghetti.mp4,4.04497
gym-workout.mp4,4.33343
sketching.mp4,4.6578
strawberry-slicing.mp4,7.83201
work.mp4,4.98152
candles.mp4,1.80928
clown-fish.mp4,5.45998
food-market.mp4,2.88563
