video,score
autumn.mp4,0.27644
sushi.mp4,-0.23969
disco-ball.mp4,-0.16719
dusk-city.mp4,-0.27244
street-artist.mp4,0.21726
seal.mp4,-0.01391
writing.mp4,-0.18448
eiffel-tower.mp4,-0.1692
christmas.mp4,-0.28259
dark-city.mp4,-0.2255
yoga.mp4,0.10882
airplane-window.mp4,-0.14176
shuttle-landing.mp4,0.07385
moon.mp4,-0.04249
swimming-pool.mp4,-0.32531
ice-hockey.mp4,-0.10553
beach.mp4,0.00653
flowing-river.mp4,0.00272
flower.mp4,-0.03702
ice_cream.mp4,0.00832
crops-field.mp4,0.18687
jellyfish.mp4,-0.26322
waves.mp4,-0.08051
cloudy-sky.mp4,0.31046
traffic.mp4,-0.36533
offroad-car.mp4,0.35568
police-car.mp4,-0.44653
cooking.mp4,-0.35536
coffee-machine.mp4,0.03936
dunes.mp4,0.29601
surfer.mp4,0.02224
photographer.mp4,-0.34174
people-dancing.mp4,-0.06995
bird-walking.mp4,0.19671
earth.mp4,-0.12863
timelapse-night.mp4,-0.41963
butterfly.mp4,0.12727
winter.mp4,0.26412
playing-basketball.mp4,0.00336
workers.mp4,-0.14471
wind-turbine.mp4,-0.25326
swing.mp4,-0.00128
spaghetti.mp4,-0.0626
gym-workout.mp4,-0.14391
sketching.mp4,0.2368
strawberry-slicing.mp4,0.35056
work.mp4,0.00669
candles.mp4,-0.13022
clown-fish.mp4,-0.41111
food-market.mp4,-0.08491
