video,score
autumn.mp4,1.51773
sushi.mp4,2.5635
disco-ball.mp4,1.56549
dusk-city.mp4,2.5893
street-artist.mp4,2.21603
seal.mp4,1.29084
writing.mp4,1.82361
eiffel-tower.mp4,1.67586
christmas.mp4,1.62478
dark-city.mp4,1.62437
yoga.mp4,1.22142
airplane-window.mp4,1.79017
shuttle-landing.mp4,1.24639
moon.mp4,0.80253
swimming-pool.mp4,2.00759
ice-hockey.mp4,1.0186
beach.mp4,1.32953
flowing-river.mp4,2.08933
flower.mp4,1.85397
ice_cream.mp4,1.58995
crops-field.mp4,1.54459
jellyfish.mp4,0.3768
waves.mp4,1.64946
cloudy-sky.mp4,1.34686
traffic.mp4,1.40889
offroad-car.mp4,2.3017
police-car.mp4,2.26205
cooking.mp4,2.42242
coffee-machine.mp4,1.73838
dunes.mp4,1.43315
surfer.mp4,1.54194
photographer.mp4,2.32939
people-dancing.mp4,2.41522
bird-walking.mp4,1.4661
earth.mp4,1.18501
timelapse-night.mp4,2.4509
butterfly.mp4,1.9334
winter.mp4,1.82364
playing-basketball.mp4,1.71228
workers.mp4,1.94753
wind-turbine.mp4,1.76063
swing.mp4,1.32941
spaghetti.mp4,1.19447
gym-workout.mp4,1.72912
sketching.mp4,1.33854
strawberry-slicing.mp4,2.3139
work.mp4,1.60745
candles.mp4,1.35855
clown-fish.mp4,2.75026
food-market.mp4,2.04583
