video,score
autumn.mp4,0.54869
sushi.mp4,0.26593
disco-ball.mp4,0.49749
dusk-city.mp4,0.31604
street-artist.mp4,0.46368
seal.mp4,0.45288
writing.mp4,0.33656
eiffel-tower.mp4,0.44421
christmas.mp4,0.38122
dark-city.mp4,0.45925
yoga.mp4,0.64052
airplane-window.mp4,0.33529
shuttle-landing.mp4,0.64349
moon.mp4,0.88242
swimming-pool.mp4,0.38168
ice-hockey.mp4,0.66495
beach.mp4,0.58874
flowing-river.mp4,0.35282
flower.mp4,0.33067
ice_cream.mp4,0.40879
crops-field.mp4,0.63158
jellyfish.mp4,0.56989
waves.mp4,0.49172
cloudy-sky.mp4,0.64218
traffic.mp4,0.39331
offroad-car.mp4,0.47054
police-car.mp4,0.38219
cooking.mp4,0.34809
coffee-machine.mp4,0.51531
dunes.mp4,0.5021
surfer.mp4,0.52739
photographer.mp4,0.28538
people-dancing.mp4,0.34501
bird-walking.mp4,0.55677
earth.mp4,0.39926
timelapse-night.mp4,0.48047
butterfly.mp4,0.52261
winter.mp4,0.46699
playing-basketball.mp4,0.59101
workers.mp4,0.38236
wind-turbine.mp4,0.61401
swing.mp4,0.40391
spaghetti.mp4,0.6035
gym-workout.mp4,0.53532
sketching.mp4,0.51338
strawberry-slicing.mp4,0.43737
work.mp4,0.48777
candles.mp4,0.46213
clown-fish.mp4,0.26288
food-market.mp4,0.32225
