video,score
autumn.mp4,-0.25614
sushi.mp4,0.31446
disco-ball.mp4,0.07081
dusk-city.mp4,0.094
street-artist.mp4,0.12399
seal.mp4,-0.09043
writing.mp4,0.21867
eiffel-tower.mp4,0.00754
christmas.mp4,0.05812
dark-city.mp4,0.47152
yoga.mp4,-0.15512
airplane-window.mp4,0.02539
shuttle-landing.mp4,0.04358
moon.mp4,0.28945
swimming-pool.mp4,0.05298
ice-hockey.mp4,-0.12149
beach.mp4,0.13522
flowing-river.mp4,-0.16257
flower.mp4,0.25279
ice_cream.mp4,0.26436
crops-field.mp4,-0.11244
jellyfish.mp4,0.63333
waves.mp4,-0.04621
cloudy-sky.mp4,-0.12553
traffic.mp4,0.1256
offroad-car.mp4,0.03879
police-car.mp4,0.17363
cooking.mp4,0.11635
coffee-machine.mp4,-0.08436
dunes.mp4,0.00052
surfer.mp4,-0.06219
photographer.mp4,0.04655
people-dancing.mp4,0.29238
bird-walking.mp4,0.00923
earth.mp4,0.23783
timelapse-night.mp4,0.18515
butterfly.mp4,-0.0038
winter.mp4,0.17342
playing-basketball.mp4,0.01455
workers.mp4,0.13054
wind-turbine.mp4,-0.0166
swing.mp4,-0.18915
spaghetti.mp4,-0.14232
gym-workout.mp4,0.2
sketching.mp4,-0.12581
strawberry-slicing.mp4,0.07526
work.mp4,0.0856
candles.mp4,-0.02991
clown-fish.mp4,0.03889
food-market.mp4,0.29599
